====================================================================================================
EMNLP 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1680
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1680       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1680
总机构数: 826

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Microsoft                                                              99           5.89%
2      Google                                                                 90           5.36%
3      Amazon                                                                 79           4.70%
4      Chinese Academy of Sciences                                            70           4.17%
5      Tencent                                                                59           3.51%
6      Meta                                                                   56           3.33%
7      Alibaba Group                                                          54           3.21%
8      Harbin Institute of Technology                                         53           3.15%
9      Carnegie Mellon University                                             52           3.10%
10     Tsinghua University                                                    46           2.74%
11     Peking University                                                      46           2.74%
12     Allen Institute for Artificial Intelligence                            41           2.44%
13     National University of Singapore                                       40           2.38%
14     Zhejiang University                                                    37           2.20%
15     University of Illinois Urbana-Champaign                                36           2.14%
16     Hong Kong University of Science and Technology                         36           2.14%
17     Fudan University                                                       36           2.14%
18     University of Washington                                               35           2.08%
19     Chinese University of Hong Kong                                        33           1.96%
20     University of Southern California                                      32           1.90%
21     Stanford University                                                    31           1.85%
22     Nanyang Technological University                                       30           1.79%
23     Huawei                                                                 30           1.79%
24     University of Edinburgh                                                29           1.73%
25     International Business Machines Corporation                            28           1.67%
26     Shanghai Jiao Tong University                                          27           1.61%
27     University of Science and Technology of China                          27           1.61%
28     University of Amsterdam                                                25           1.49%
29     Renmin University of China                                             25           1.49%
30     Beijing University of Posts and Telecommunications                     25           1.49%
31     University of Michigan                                                 25           1.49%
32     University of Cambridge                                                24           1.43%
33     University of California, Los Angeles                                  23           1.37%
34     University of Maryland                                                 23           1.37%
35     Singapore Management University                                        23           1.37%
36     University of Chinese Academy of Sciences                              23           1.37%
37     Georgia Institute of Technology                                        21           1.25%
38     Soochow University                                                     21           1.25%
39     University of California, Santa Barbara                                20           1.19%
40     Korea Advanced Institute of Science and Technology                     20           1.19%
41     Seoul National University                                              20           1.19%
42     Columbia University                                                    19           1.13%
43     University of California, Berkeley                                     18           1.07%
44     Sun Yat-sen University                                                 18           1.07%
45     University of Hong Kong                                                17           1.01%
46     Beihang University                                                     17           1.01%
47     Massachusetts Institute of Technology                                  17           1.01%
48     New York University                                                    16           0.95%
49     Mohamed bin Zayed University of Artificial Intelligence                16           0.95%
50     University of North Carolina                                           16           0.95%
51     Johns Hopkins University                                               15           0.89%
52     University of California, San Diego                                    15           0.89%
53     Tianjin University                                                     15           0.89%
54     McGill University                                                      15           0.89%
55     University of Copenhagen                                               15           0.89%
56     University of Texas at Austin                                          14           0.83%
57     Beijing Institute of Technology                                        14           0.83%
58     Nanjing University                                                     14           0.83%
59     Bar-Ilan University                                                    14           0.83%
60     Indian Institute of Technology Delhi                                   14           0.83%
61     Northeastern University                                                14           0.83%
62     Harvard University                                                     14           0.83%
63     Agency for Science, Technology and Research                            14           0.83%
64     Shandong University                                                    13           0.77%
65     University of British Columbia                                         13           0.77%
66     Suzhou University                                                      13           0.77%
67     ByteDance                                                              13           0.77%
68     University of Waterloo                                                 13           0.77%
69     ETH Zurich                                                             13           0.77%
70     Pennsylvania State University                                          12           0.71%
71     Korea University                                                       12           0.71%
72     University of Massachusetts Amherst                                    12           0.71%
73     Adobe                                                                  12           0.71%
74     Salesforce                                                             12           0.71%
75     Westlake University                                                    12           0.71%
76     Apple                                                                  12           0.71%
77     University of Pennsylvania                                             11           0.65%
78     University College London                                              11           0.65%
79     University of Illinois                                                 11           0.65%
80     George Mason University                                                11           0.65%
81     Swiss Federal Institute of Technology                                  11           0.65%
82     IBM                                                                    11           0.65%
83     City University of Hong Kong                                           11           0.65%
84     Cornell University                                                     11           0.65%
85     Baidu                                                                  11           0.65%
86     University of Oxford                                                   11           0.65%
87     East China Normal University                                           10           0.60%
88     Indian Institute of Technology Bombay                                  10           0.60%
89     Princeton University                                                   10           0.60%
90     University of Illinois at Chicago                                      10           0.60%
91     University of Electronic Science and Technology of China               10           0.60%
92     Nankai University                                                      10           0.60%
93     Kyoto University                                                       10           0.60%
94     University of Notre Dame                                               10           0.60%
95     Meituan                                                                10           0.60%
96     University of Arizona                                                  10           0.60%
97     University of Montreal                                                 9            0.54%
98     Bloomberg                                                              9            0.54%
99     Brown University                                                       9            0.54%
100    Worcester Polytechnic Institute                                        9            0.54%
101    Zoom Video Communications Inc.                                         9            0.54%
102    Hong Kong Polytechnic University                                       9            0.54%
103    Singapore University of Technology and Design                          9            0.54%
104    Yale University                                                        9            0.54%
105    Sichuan University                                                     9            0.54%
106    Texas A&M University                                                   9            0.54%
107    Arizona State University                                               9            0.54%
108    Wuhan University                                                       9            0.54%
109    University of Technology Sydney                                        8            0.48%
110    Swiss Federal Institute of Technology Lausanne                         8            0.48%
111    Tel Aviv University                                                    8            0.48%
112    DeepMind                                                               8            0.48%
113    Ludwig-Maximilians-Universität München                                 8            0.48%
114    NVIDIA                                                                 8            0.48%
115    Ohio State University                                                  8            0.48%
116    King's College London                                                  8            0.48%
117    Cardiff University                                                     8            0.48%
118    Beijing Jiao Tong University                                           7            0.42%
119    University of Toronto                                                  7            0.42%
120    University of Sheffield                                                7            0.42%
121    Hebrew University of Jerusalem                                         7            0.42%
122    Xi'an Jiao Tong University                                             7            0.42%
123    Sungkyunkwan University                                                7            0.42%
124    Huazhong University of Science and Technology                          7            0.42%
125    Allen Institute for AI                                                 7            0.42%
126    Indraprastha Institute of Information Technology                       7            0.42%
127    Purdue University                                                      7            0.42%
128    Technion - Israel Institute of Technology                              7            0.42%
129    PolyAI Limited                                                         7            0.42%
130    University of Melbourne                                                7            0.42%
131    LG                                                                     7            0.42%
132    National University of Defense Technology                              7            0.42%
133    EPFL                                                                   7            0.42%
134    Xiamen University                                                      7            0.42%
135    Indian Institute of Technology Kharagpur                               6            0.36%
136    University of Pittsburgh                                               6            0.36%
137    Eindhoven University of Technology                                     6            0.36%
138    A*STAR                                                                 6            0.36%
139    Center for Information and Language Processing                         6            0.36%
140    Tongji University                                                      6            0.36%
141    University of Groningen                                                6            0.36%
142    RIKEN                                                                  6            0.36%
143    INRIA                                                                  6            0.36%
144    University of Manchester                                               6            0.36%
145    University of Maryland, College Park                                   6            0.36%
146    Virginia Tech                                                          6            0.36%
147    University of Zurich                                                   6            0.36%
148    Unknown Institution                                                    6            0.36%
149    Southeast University                                                   5            0.30%
150    Monash University                                                      5            0.30%
151    Boston University                                                      5            0.30%
152    Snap Inc.                                                              5            0.30%
153    Yonsei University                                                      5            0.30%
154    Indian Institute of Technology Patna                                   5            0.30%
155    Samsung                                                                5            0.30%
156    Tokyo Institute of Technology                                          5            0.30%
157    Université de Montréal                                                 5            0.30%
158    University of California, Irvine                                       5            0.30%
159    University of Hamburg                                                  5            0.30%
160    National Research Council Canada                                       5            0.30%
161    Ant Group                                                              5            0.30%
162    University of Alberta                                                  5            0.30%
163    NAVER Corporation                                                      5            0.30%
164    ShanghaiTech University                                                5            0.30%
165    Ludwig Maximilian University of Munich                                 5            0.30%
166    Technische Universität Darmstadt                                       5            0.30%
167    Indian Institute of Technology, Bombay                                 5            0.30%
168    University of Potsdam                                                  5            0.30%
169    South China University of Technology                                   4            0.24%
170    JD.com                                                                 4            0.24%
171    University of Utah                                                     4            0.24%
172    University of South Carolina                                           4            0.24%
173    Sea AI Lab                                                             4            0.24%
174    State University of New York at Stony Brook                            4            0.24%
175    Institute for Infocomm Research                                        4            0.24%
176    University of Wisconsin-Madison                                        4            0.24%
177    Dartmouth College                                                      4            0.24%
178    University of Minnesota                                                4            0.24%
179    University of Colorado                                                 4            0.24%
180    King Abdullah University of Science and Technology                     4            0.24%
181    Duke University                                                        4            0.24%
182    JD.com Inc.                                                            4            0.24%
183    SenseTime                                                              4            0.24%
184    Universität des Saarlandes                                             4            0.24%
185    Intel                                                                  4            0.24%
186    National Taiwan University                                             4            0.24%
187    University of Tokyo                                                    4            0.24%
188    Institute of Industrial Engineers                                      4            0.24%
189    University of Helsinki                                                 4            0.24%
190    Université Paris Saclay                                                4            0.24%
191    Shanxi University                                                      4            0.24%
192    Indian Institute of Science                                            4            0.24%
193    University of Surrey                                                   4            0.24%
194    Southern University of Science and Technology                          4            0.24%
195    Centre National de la Recherche Scientifique                           4            0.24%
196    University of North Carolina at Chapel Hill                            4            0.24%
197    Hanyang University                                                     4            0.24%
198    University of Mississippi                                              4            0.24%
199    International Business Machines                                        4            0.24%
200    National Technological University                                      4            0.24%
201    Chongqing University                                                   4            0.24%
202    Michigan State University                                              4            0.24%
203    University of Glasgow                                                  4            0.24%
204    University of Liverpool                                                4            0.24%
205    Toyota Technological Institute at Chicago                              3            0.18%
206    Xiaobing.AI                                                            3            0.18%
207    Cohere                                                                 3            0.18%
208    University of Rochester                                                3            0.18%
209    University of Chicago                                                  3            0.18%
210    University of Gothenburg                                               3            0.18%
211    University of the Basque Country                                       3            0.18%
212    Universidad del País Vasco                                             3            0.18%
213    Nanjing University of Science and Technology                           3            0.18%
214    OpenAI                                                                 3            0.18%
215    VinAI Research                                                         3            0.18%
216    Hanoi University of Science and Technology                             3            0.18%
217    University of Wisconsin                                                3            0.18%
218    Emory University                                                       3            0.18%
219    Dublin City University                                                 3            0.18%
220    National Institute of Informatics                                      3            0.18%
221    Electrical Engineering & Computer Science Department                   3            0.18%
222    University of Stuttgart                                                3            0.18%
223    Syntexys Inc                                                           3            0.18%
224    Queen's University                                                     3            0.18%
225    ServiceNow                                                             3            0.18%
226    Universitat Politècnica de València                                    3            0.18%
227    Julius-Maximilians-Universität Würzburg                                3            0.18%
228    Idiap Research Institute                                               3            0.18%
229    University of Trento                                                   3            0.18%
230    Fondazione Bruno Kessler                                               3            0.18%
231    Uppsala University                                                     3            0.18%
232    Instituto Politécnico Nacional                                         3            0.18%
233    Utrecht University                                                     3            0.18%
234    Osaka University                                                       3            0.18%
235    École Polytechnique de Montréal                                        3            0.18%
236    German Research Center for Artificial Intelligence                     3            0.18%
237    Independent Researcher                                                 3            0.18%
238    Northwestern University                                                3            0.18%
239    IT University of Copenhagen                                            3            0.18%
240    Universitat Pompeu Fabra                                               3            0.18%
241    Maastricht University                                                  3            0.18%
242    University of Vienna                                                   3            0.18%
243    University of California, Santa Cruz                                   3            0.18%
244    Twelve Labs                                                            3            0.18%
245    Universidad Nacional de Córdoba                                        3            0.18%
246    Tohoku University                                                      3            0.18%
247    Imperial College London                                                3            0.18%
248    North Carolina State University                                        3            0.18%
249    Xinjiang University                                                    3            0.18%
250    University of Ghent                                                    3            0.18%
251    Instituto Superior Técnico                                             3            0.18%
252    Indian Institute of Technology Gandhinagar                             3            0.18%
253    Hong Kong Baptist University                                           3            0.18%
254    Jiangxi Normal University                                              3            0.18%
255    Tokyo Metropolitan University                                          3            0.18%
256    Meituan Group                                                          3            0.18%
257    Nanjing University of Aeronautics and Astronautics                     3            0.18%
258    National Yang Ming Chiao Tung University                               3            0.18%
259    University of Richmond                                                 3            0.18%
260    Deakin University                                                      3            0.18%
261    University of Duisburg-Essen                                           3            0.18%
262    University of Oregon                                                   3            0.18%
263    Quebec AI Institute                                                    3            0.18%
264    Tata Consultancy Services Limited                                      3            0.18%
265    iFLYTEK                                                                3            0.18%
266    Dalian University of Technology                                        3            0.18%
267    University of Virginia                                                 3            0.18%
268    Institute of Infocomm Research                                         3            0.18%
269    University of Texas at Dallas                                          3            0.18%
270    University of Massachusetts Lowell                                     3            0.18%
271    Cohere AI                                                              2            0.12%
272    University of Bucharest                                                2            0.12%
273    University of Geneva                                                   2            0.12%
274    Johannes Kepler University                                             2            0.12%
275    Eberhard Karls University of Tübingen                                  2            0.12%
276    Leiden University                                                      2            0.12%
277    Shanghai Artificial Intelligence Laboratory                            2            0.12%
278    Georgetown University                                                  2            0.12%
279    University of Florida                                                  2            0.12%
280    Katholieke Universiteit Leuven                                         2            0.12%
281    Universidad Politécnica de Valencia                                    2            0.12%
282    Tilburg University                                                     2            0.12%
283    Sinovation Ventures                                                    2            0.12%
284    Washington University in St. Louis                                     2            0.12%
285    Bayero University                                                      2            0.12%
286    Universidad de Deusto                                                  2            0.12%
287    Kaduna State University                                                2            0.12%
288    Masakhane Research Foundation                                          2            0.12%
289    Accra Institute of Technology                                          2            0.12%
290    NTT Corporation                                                        2            0.12%
291    NetEase, Inc.                                                          2            0.12%
292    Sapienza University of Rome                                            2            0.12%
293    National Technical University of Athens                                2            0.12%
294    Data Cowboys                                                           2            0.12%
295    National Institutes of Health                                          2            0.12%
296    University of Göttingen                                                2            0.12%
297    Georg-August Universität Göttingen                                     2            0.12%
298    Qatar Computing Research Institute                                     2            0.12%
299    Ulsan National Institute of Science and Technology                     2            0.12%
300    Lenovo Group                                                           2            0.12%
301    University of Massachusetts Boston                                     2            0.12%
302    Upstage                                                                2            0.12%
303    WeChat                                                                 2            0.12%
304    PingAn Technology                                                      2            0.12%
305    Technische Universität Berlin                                          2            0.12%
306    Academia Sinica                                                        2            0.12%
307    Universität Bielefeld                                                  2            0.12%
308    Booz Allen Hamilton                                                    2            0.12%
309    NEC Laboratories                                                       2            0.12%
310    Vanderbilt University                                                  2            0.12%
311    Rochester Institute of Technology                                      2            0.12%
312    Simon Fraser University                                                2            0.12%
313    Beijing Academy of Artificial Intelligence                             2            0.12%
314    University of North Texas                                              2            0.12%
315    University of Warwick                                                  2            0.12%
316    China Mobile                                                           2            0.12%
317    China Mobile Communications Group Co., Ltd.                            2            0.12%
318    Università degli Studi di Roma Tor Vergata                             2            0.12%
319    University of Rome Tor Vergata                                         2            0.12%
320    Institute of High Performance Computing                                2            0.12%
321    Rutgers University                                                     2            0.12%
322    Jilin University                                                       2            0.12%
323    Bocconi University                                                     2            0.12%
324    Rice University                                                        2            0.12%
325    Indian Institute of Technology                                         2            0.12%
326    National Institute of Information and Communications Technology        2            0.12%
327    Zürcher Hochschule für Angewandte Wissenschaften                       2            0.12%
328    Central South University                                               2            0.12%
329    Nagoya University                                                      2            0.12%
330    Yunnan University                                                      2            0.12%
331    Auburn University                                                      2            0.12%
332    Robert Bosch GmbH                                                      2            0.12%
333    University of Leipzig                                                  2            0.12%
334    Leipzig University                                                     2            0.12%
335    Stony Brook University                                                 2            0.12%
336    Aston University                                                       2            0.12%
337    Pengcheng Laboratory                                                   2            0.12%
338    Shanghai University of Finance and Economics                           2            0.12%
339    JD                                                                     2            0.12%
340    Rensselaer Polytechnic Institute                                       2            0.12%
341    Ghent University                                                       2            0.12%
342    TAL                                                                    2            0.12%
343    South China University                                                 2            0.12%
344    OPPO Research Institute                                                2            0.12%
345    Indian Institute of Technology Kanpur                                  2            0.12%
346    VinUniversity                                                          2            0.12%
347    Xiaomi Corporation                                                     2            0.12%
348    Xiaomi Inc.                                                            2            0.12%
349    Keio University                                                        2            0.12%
350    Queens University                                                      2            0.12%
351    Kempelen Institute of Intelligent Technologies                         2            0.12%
352    Wroclaw University of Science and Technology                           2            0.12%
353    Kuaishou Technology                                                    2            0.12%
354    CentraleSupélec                                                        2            0.12%
355    FPT Corporation                                                        2            0.12%
356    Ben-Gurion University of the Negev                                     2            0.12%
357    Southwest University of Finance and Economics                          2            0.12%
358    Universitat Politècnica de Catalunya                                   2            0.12%
359    Dataminr                                                               2            0.12%
360    Hasso Plattner Institute                                               2            0.12%
361    Kakao Brain                                                            2            0.12%
362    KU Leuven                                                              2            0.12%
363    Heriot-Watt University                                                 2            0.12%
364    Leibniz Institute for the Social Sciences                              2            0.12%
365    Shanghai University                                                    2            0.12%
366    Ecole Polytechnique                                                    2            0.12%
367    LINAGORA                                                               2            0.12%
368    Fuzhou University                                                      2            0.12%
369    Beijing University of Technology                                       2            0.12%
370    Zhejiang University of Technology                                      2            0.12%
371    Beijing Language and Culture University                                2            0.12%
