====================================================================================================
ACL 2024 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1809
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1809       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1809
总机构数: 1012

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Tsinghua University                                                    94           5.20%
2      Chinese Academy of Sciences                                            81           4.48%
3      Microsoft                                                              76           4.20%
4      University of Chinese Academy of Sciences                              75           4.15%
5      Peking University                                                      74           4.09%
6      Zhejiang University                                                    71           3.92%
7      Harbin Institute of Technology                                         68           3.76%
8      Tencent                                                                64           3.54%
9      Carnegie Mellon University                                             61           3.37%
10     Chinese University of Hong Kong                                        54           2.99%
11     University of Science and Technology of China                          53           2.93%
12     Fudan University                                                       52           2.87%
13     Shanghai Jiao Tong University                                          50           2.76%
14     Renmin University of China                                             49           2.71%
15     Nanyang Technological University                                       46           2.54%
16     Alibaba Group                                                          46           2.54%
17     Amazon                                                                 45           2.49%
18     National University of Singapore                                       44           2.43%
19     Hong Kong University of Science and Technology                         42           2.32%
20     Google                                                                 40           2.21%
21     University of Washington                                               40           2.21%
22     Huawei                                                                 38           2.10%
23     Georgia Institute of Technology                                        35           1.93%
24     Shanghai AI Laboratory                                                 35           1.93%
25     University of Illinois Urbana-Champaign                                34           1.88%
26     Mohamed bin Zayed University of Artificial Intelligence                32           1.77%
27     Meta                                                                   32           1.77%
28     Massachusetts Institute of Technology                                  32           1.77%
29     Shanghai Artificial Intelligence Laboratory                            29           1.60%
30     Allen Institute for AI                                                 27           1.49%
31     Stanford University                                                    27           1.49%
32     ETH Zurich                                                             26           1.44%
33     Pengcheng Laboratory                                                   26           1.44%
34     Beijing University of Posts and Telecommunications                     26           1.44%
35     University of Cambridge                                                25           1.38%
36     University of Hong Kong                                                25           1.38%
37     Hong Kong Polytechnic University                                       24           1.33%
38     University of Edinburgh                                                24           1.33%
39     Soochow University                                                     24           1.33%
40     University of California, San Diego                                    24           1.33%
41     University of Southern California                                      24           1.33%
42     Sun Yat-sen University                                                 23           1.27%
43     Northeastern University                                                23           1.27%
44     Beijing Institute of Technology                                        22           1.22%
45     Nanjing University                                                     22           1.22%
46     Beihang University                                                     21           1.16%
47     University of California, Los Angeles                                  21           1.16%
48     IBM                                                                    20           1.11%
49     University of Maryland                                                 20           1.11%
50     Wuhan University                                                       20           1.11%
51     Korea Advanced Institute of Science and Technology                     20           1.11%
52     Seoul National University                                              19           1.05%
53     ByteDance                                                              18           1.00%
54     University of Amsterdam                                                17           0.94%
55     University of Sydney                                                   16           0.88%
56     Beijing Academy of Artificial Intelligence                             16           0.88%
57     East China Normal University                                           15           0.83%
58     University of Melbourne                                                14           0.77%
59     University of California, Santa Barbara                                14           0.77%
60     Ant Group                                                              14           0.77%
61     University of Pennsylvania                                             14           0.77%
62     Huazhong University of Science and Technology                          14           0.77%
63     Xi'an Jiao Tong University                                             14           0.77%
64     Singapore Management University                                        13           0.72%
65     Bar-Ilan University                                                    13           0.72%
66     Tianjin University                                                     13           0.72%
67     University of California, Berkeley                                     13           0.72%
68     New York University                                                    13           0.72%
69     University of Michigan                                                 13           0.72%
70     University of Manchester                                               13           0.72%
71     University of Copenhagen                                               13           0.72%
72     Shenzhen Institute of Advanced Technology                              13           0.72%
73     Baidu                                                                  13           0.72%
74     Technical University of Munich                                         12           0.66%
75     Jilin University                                                       12           0.66%
76     University of Electronic Science and Technology of China               12           0.66%
77     Beijing Jiao Tong University                                           12           0.66%
78     Westlake University                                                    12           0.66%
79     Pennsylvania State University                                          11           0.61%
80     Salesforce                                                             11           0.61%
81     University of Tokyo                                                    11           0.61%
82     Munich Center for Machine Learning                                     10           0.55%
83     University of British Columbia                                         10           0.55%
84     Adobe                                                                  10           0.55%
85     National Taiwan University                                             10           0.55%
86     University of Massachusetts Amherst                                    10           0.55%
87     McGill University                                                      10           0.55%
88     Cohere                                                                 10           0.55%
89     City University of Hong Kong                                           10           0.55%
90     Southeast University                                                   10           0.55%
91     Indian Institute of Technology Bombay                                  10           0.55%
92     Yale University                                                        10           0.55%
93     Johns Hopkins University                                               10           0.55%
94     Virginia Tech                                                          10           0.55%
95     Tel Aviv University                                                    9            0.50%
96     Université de Montréal                                                 9            0.50%
97     King's College London                                                  9            0.50%
98     Yonsei University                                                      9            0.50%
99     University of Macau                                                    9            0.50%
100    University College London                                              9            0.50%
101    Sichuan University                                                     9            0.50%
102    Nankai University                                                      9            0.50%
103    University of Illinois at Chicago                                      9            0.50%
104    Jiangsu Collaborative Innovation Center for Language Competence        9            0.50%
105    Korea University                                                       9            0.50%
106    LMU Munich                                                             9            0.50%
107    University of Texas at Austin                                          9            0.50%
108    Quebec AI Institute                                                    8            0.44%
109    Canadian Institute for Advanced Research                               8            0.44%
110    EPFL                                                                   8            0.44%
111    University of Alberta                                                  8            0.44%
112    University of Toronto                                                  8            0.44%
113    Alan Turing Institute                                                  8            0.44%
114    University of Notre Dame                                               8            0.44%
115    University of Wisconsin-Madison                                        8            0.44%
116    Technical University of Darmstadt                                      8            0.44%
117    Allen Institute for Artificial Intelligence                            8            0.44%
118    Harvard University                                                     8            0.44%
119    Ministry of Education                                                  8            0.44%
120    University of Virginia                                                 8            0.44%
121    NAVER Corporation                                                      8            0.44%
122    Princeton University                                                   8            0.44%
123    University of Waterloo                                                 8            0.44%
124    University of Texas at Dallas                                          8            0.44%
125    Xiamen University                                                      8            0.44%
126    South China University of Technology                                   8            0.44%
127    Guangdong Provincial Key Laboratory of Novel Security Intelligence Technologies 8            0.44%
128    Imperial College London                                                8            0.44%
129    Meituan                                                                8            0.44%
130    Shanghai Collaborative Innovation Center of Intelligent Visual Computing 8            0.44%
131    Singapore University of Technology and Design                          8            0.44%
132    National University of Defense Technology                              7            0.39%
133    University of North Carolina at Chapel Hill                            7            0.39%
134    University of Technology Sydney                                        7            0.39%
135    Nara Institute of Science and Technology                               7            0.39%
136    University of California, Riverside                                    7            0.39%
137    Leiden University                                                      7            0.39%
138    Saarland University                                                    7            0.39%
139    Ohio State University                                                  7            0.39%
140    National Key Laboratory of General Artificial Intelligence             7            0.39%
141    Institute for Infocomm Research                                        7            0.39%
