====================================================================================================
ACL 2023 论文统计分析汇总报告
====================================================================================================

【一、论文类别统计】
====================================================================================================
总论文数: 1885
总类别数: 1

排名     类别                                                 数量         占比        
----------------------------------------------------------------------------------------------------
1                                                         1885       100.00%


【二、论文机构统计】
====================================================================================================
统计模式: 所有机构
总论文数: 1885
总机构数: 976

排名     机构名称                                                                   论文数        占比        
----------------------------------------------------------------------------------------------------
1      Amazon                                                                 112          5.94%
2      Microsoft                                                              110          5.84%
3      Tsinghua University                                                    83           4.40%
4      Peking University                                                      73           3.87%
5      Google                                                                 66           3.50%
6      Tencent                                                                64           3.40%
7      Meta                                                                   62           3.29%
8      Fudan University                                                       60           3.18%
9      Alibaba Group                                                          60           3.18%
10     Harbin Institute of Technology                                         55           2.92%
11     University of Washington                                               53           2.81%
12     Carnegie Mellon University                                             52           2.76%
13     Zhejiang University                                                    49           2.60%
14     University of Chinese Academy of Sciences                              49           2.60%
15     Chinese Academy of Sciences                                            48           2.55%
16     University of Southern California                                      47           2.49%
17     University of Illinois Urbana-Champaign                                43           2.28%
18     Nanyang Technological University                                       38           2.02%
19     Stanford University                                                    37           1.96%
20     Renmin University of China                                             36           1.91%
21     National University of Singapore                                       35           1.86%
22     Shanghai Jiao Tong University                                          34           1.80%
23     University of California, Los Angeles                                  33           1.75%
24     Huawei                                                                 33           1.75%
25     ETH Zurich                                                             30           1.59%
26     Korea Advanced Institute of Science and Technology                     29           1.54%
27     Georgia Institute of Technology                                        29           1.54%
28     IBM                                                                    27           1.43%
29     ByteDance                                                              27           1.43%
30     Allen Institute for AI                                                 26           1.38%
31     Hong Kong University of Science and Technology                         25           1.33%
32     Mohamed bin Zayed University of Artificial Intelligence                25           1.33%
33     University of Cambridge                                                24           1.27%
34     University of Edinburgh                                                23           1.22%
35     University of California, San Diego                                    22           1.17%
36     Baidu                                                                  22           1.17%
37     Northeastern University                                                22           1.17%
38     University of Science and Technology of China                          21           1.11%
39     Chinese University of Hong Kong                                        21           1.11%
40     Johns Hopkins University                                               20           1.06%
41     Westlake University                                                    20           1.06%
42     Allen Institute for Artificial Intelligence                            20           1.06%
43     Seoul National University                                              20           1.06%
44     Beihang University                                                     19           1.01%
45     Massachusetts Institute of Technology                                  19           1.01%
46     Meituan                                                                19           1.01%
47     Pengcheng Laboratory                                                   19           1.01%
48     Salesforce                                                             19           1.01%
49     Beijing University of Posts and Telecommunications                     19           1.01%
50     Tianjin University                                                     18           0.95%
51     Sun Yat-sen University                                                 18           0.95%
52     University of Michigan                                                 18           0.95%
53     New York University                                                    17           0.90%
54     East China Normal University                                           17           0.90%
55     Soochow University                                                     17           0.90%
56     University of California, Santa Barbara                                17           0.90%
57     University of Texas at Austin                                          16           0.85%
58     Hong Kong Polytechnic University                                       16           0.85%
59     University of Copenhagen                                               16           0.85%
60     Columbia University                                                    16           0.85%
61     Wuhan University                                                       16           0.85%
62     University of Illinois at Chicago                                      15           0.80%
63     University of Amsterdam                                                15           0.80%
64     University of Pennsylvania                                             15           0.80%
65     Adobe                                                                  14           0.74%
66     Beijing Institute of Technology                                        14           0.74%
67     Yale University                                                        14           0.74%
68     Beijing National Research Center for Information Science and Technology 14           0.74%
69     Princeton University                                                   14           0.74%
70     University of Hong Kong                                                13           0.69%
71     University of California, Berkeley                                     13           0.69%
72     Bar-Ilan University                                                    13           0.69%
73     South China University of Technology                                   13           0.69%
74     University of Massachusetts Amherst                                    12           0.64%
75     LMU Munich                                                             12           0.64%
76     Beijing Jiao Tong University                                           12           0.64%
77     Singapore University of Technology and Design                          12           0.64%
78     University of Tokyo                                                    12           0.64%
79     Nanjing University                                                     12           0.64%
80     University of Oxford                                                   12           0.64%
81     University of North Carolina at Chapel Hill                            12           0.64%
82     University of Waterloo                                                 11           0.58%
83     University of Melbourne                                                11           0.58%
84     University College London                                              11           0.58%
85     Shanghai Artificial Intelligence Laboratory                            11           0.58%
86     University of Maryland                                                 11           0.58%
87     EPFL                                                                   11           0.58%
88     National Key Laboratory of General Artificial Intelligence             11           0.58%
89     JD                                                                     11           0.58%
90     Ministry of Education                                                  11           0.58%
91     Singapore Management University                                        11           0.58%
92     Université de Montréal                                                 11           0.58%
93     Indian Institute of Technology Bombay                                  10           0.53%
94     Huazhong University of Science and Technology                          10           0.53%
95     Nanjing University of Science and Technology                           10           0.53%
96     Sapienza University of Rome                                            10           0.53%
97     NVIDIA                                                                 10           0.53%
98     Ohio State University                                                  10           0.53%
99     University of Sheffield                                                10           0.53%
100    Virginia Tech                                                          10           0.53%
101    LG                                                                     10           0.53%
102    University of Utah                                                     10           0.53%
103    Southeast University                                                   10           0.53%
104    Ant Group                                                              10           0.53%
105    INRIA                                                                  10           0.53%
106    Beijing Key Laboratory of Big Data Management and Analysis Methods     10           0.53%
107    University of Macau                                                    10           0.53%
108    Boston University                                                      9            0.48%
109    Munich Center for Machine Learning                                     9            0.48%
110    Xiamen University                                                      9            0.48%
111    University of Liverpool                                                9            0.48%
112    University of Chicago                                                  9            0.48%
113    Xi'an Jiao Tong University                                             9            0.48%
114    Charles University                                                     9            0.48%
115    RIKEN                                                                  9            0.48%
116    Saarland University                                                    9            0.48%
117    Westlake Institute for Advanced Study                                  9            0.48%
118    Bloomberg                                                              9            0.48%
119    Technical University of Darmstadt                                      8            0.42%
120    Tel Aviv University                                                    8            0.42%
121    Cornell University                                                     8            0.42%
122    University of Electronic Science and Technology of China               8            0.42%
123    University of Stuttgart                                                8            0.42%
124    Beijing Academy of Artificial Intelligence                             8            0.42%
125    Institute for Infocomm Research                                        8            0.42%
126    University of British Columbia                                         8            0.42%
127    Shandong University                                                    8            0.42%
128    Independent Researcher                                                 8            0.42%
129    McGill University                                                      8            0.42%
